Hour;Temperature °C
1158;-0.45383
1159;-0.78717
1160;-0.94291
1161;-0.93517
1162;-0.70183
1163;-0.40256
1164;-4.18E-02
1165;0.42483
1166;0.7038
1167;0.80883
1168;0.64217
1169;0.38924
1170;5.28E-02
1171;-0.51383
1172;-1.1751
1173;-0.81201
1174;-0.45966
1175;-0.17783
1176;2.09E-02
1177;0.17569
1178;0.26442
1179;0.50202
1180;0.73917
1181;0.97576
1182;0.99635
1183;1
1184;1
1185;0.81835
1186;0.622
1187;0.422
1188;0.25024
1189;8.32E-02
1190;-8.02E-02
1191;-0.79472
1192;-1.5508
1193;-2.3142
1194;-2.6579
1195;-2.967
1196;-3.267
1197;-3.2663
1198;-3.2388
1199;-3.2022
1200;-3.6824
1201;-4.2308
1202;-4.7209
1203;-5.3579
1204;-5.9949
1205;-6.632
1206;-7.3531
1207;-8.0839
1208;-8.821
1209;-9.0396
1210;-9.2145
1211;-9.283
1212;-8.8362
1213;-8.3257
1214;-7.722
1215;-7.522
1216;-7.322
1217;-7.3304
1218;-7.8395
1219;-9.0962
1220;-9.3611
1221;-9.511
1222;-9.411
1223;-9.0923
1224;-8.6094
1225;-7.8773
1226;-7.011
1227;-6.911
1228;-6.811
1229;-6.711
1230;-6.8556
1231;-7.0169
1232;-7.1801
1233;-6.9515
1234;-6.6941
1235;-6.4309
1236;-6.7976
1237;-7.2171
1238;-7.6539
1239;-7.7587
1240;-7.8299
1241;-7.893
1242;-8.4279
1243;-8.9749
1244;-9.5312
1245;-9.8297
1246;-10.108
1247;-10.366
1248;-10.507
1249;-10.674
1250;-10.769
1251;-11.132
1252;-11.495
1253;-11.858
1254;-11.346
1255;-10.766
1256;-10.166
1257;-9.475
1258;-8.777
1259;-8.077
1260;-7.076
1261;-6.049
1262;-5.0121
1263;-4.8005
1264;-4.65
1265;-4.5131
1266;-4.7467
1267;-5.006
1268;-5.2691
1269;-5.1122
1270;-4.922
1271;-4.722
1272;-5.0959
1273;-5.5421
1274;-5.9542
1275;-6.2908
1276;-6.6278
1277;-6.9652
1278;-6.4458
1279;-5.866
1280;-5.266
1281;-5.031
1282;-4.822
1283;-4.622
1284;-4.1761
1285;-3.7158
1286;-3.2532
1287;-3.3024
1288;-3.389
1289;-3.489
1290;-3.6524
1291;-3.8172
1292;-3.9798
1293;-4.0868
1294;-4.189
1295;-4.289
1296;-4.3256
1297;-4.3863
1298;-4.3984
1299;-4.3348
1300;-4.2717
1301;-4.2093
1302;-4.2023
1303;-4.2
1304;-4.2
1305;-4.0451
1306;-3.8827
1307;-3.7203
1308;-3.3671
1309;-3.0047
1310;-2.6423
1311;-2.5457
1312;-2.4717
1313;-2.4093
1314;-2.6127
1315;-2.8387
1316;-3.0763
1317;-3.3693
1318;-3.667
1319;-3.967
1320;-3.9295
1321;-3.8974
1322;-3.8015
1323;-3.8653
1324;-3.9284
1325;-3.9907
1326;-4.0253
1327;-4.0606
1328;-4.0983
1329;-3.9172
1330;-3.722
1331;-3.522
1332;-3.0478
1333;-2.555
1334;-2.055
1335;-1.7378
1336;-1.433
1337;-1.133
1338;-1.1709
1339;-1.2284
1340;-1.2907
1341;-1.2699
1342;-1.2394
1343;-1.2017
1344;-1.2
1345;-1.2
1346;-1.2013
1347;-1.2653
1348;-1.3285
1349;-1.3906
1350;-1.3975
1351;-1.4
1352;-1.4
1353;-1.3724
1354;-1.311
1355;-1.311
1356;-1.211
1357;-1.111
1358;-1.011
1359;-0.94217
1360;-0.8817
1361;-0.82444
1362;-0.978
1363;-1.1765
1364;-1.3718
1365;-1.5202
1366;-1.6552
1367;-1.7838
1368;-1.8813
1369;-2.0759
1370;-2.1805
1371;-2.2189
1372;-2.2575
1373;-2.3
1374;-2.3
1375;-2.3
1376;-2.2692
1377;-1.9434
1378;-1.6365
1379;-1.2561
1380;-0.96518
1381;-0.70557
1382;-0.42846
1383;-0.16444
1384;9.83E-02
1385;0.36571
1386;-1.52E-02
1387;-0.48223
1388;-0.95059
1389;-1.6634
1390;-2.4377
1391;-3.2121
1392;-3.8007
1393;-4.3469
1394;-4.9772
1395;-5.1125
1396;-5.2493
1397;-5.3877
1398;-5.2139
1399;-5.022
1400;-4.822
1401;-3.8884
1402;-2.91
1403;-1.91
1404;-1.5519
1405;-1.233
1406;-0.933
1407;-0.8164
1408;-0.711
1409;-0.611
1410;-0.96949
1411;-1.2412
1412;-1.3947
1413;-1.6751
1414;-2.0244
1415;-2.4476
1416;-3.5127
1417;-4.7515
1418;-6.4475
1419;-7.977
1420;-9.3024
1421;-10.395
1422;-11.063
1423;-11.559
1424;-11.874
1425;-10.638
1426;-9.3143
1427;-7.9527
1428;-6.4405
1429;-4.8988
1430;-3.5046
1431;-2.7376
1432;-2.1259
1433;-1.765
1434;-1.8154
1435;-2.067
1436;-2.4095
1437;-2.8484
1438;-3.2874
1439;-3.8794
1440;-4.8186
1441;-5.9657
1442;-7.0958
1443;-8.357
1444;-9.657
1445;-10.873
1446;-11.932
1447;-12.846
1448;-13.015
1449;-11.733
1450;-9.275
1451;-6.7557
1452;-5.4436
1453;-4.0795
1454;-2.9694
1455;-2.1691
1456;-1.7185
1457;-1.4814
1458;-1.4811
1459;-1.767
1460;-2.067
1461;-2.367
1462;-2.667
1463;-2.967
1464;-3.267
1465;-3.567
1466;-3.867
1467;-4.1769
1468;-4.5239
1469;-4.7748
1470;-4.6917
1471;-4.522
1472;-4.2827
1473;-3.9195
1474;-3.4871
1475;-2.8979
1476;-1.854
1477;-0.454
1478;0.81338
1479;1.8584
1480;2.769
1481;3.5266
1482;3.017
1483;2.0802
1484;1.1707
1485;0.28982
1486;-0.44351
1487;-1.03
1488;-1.478
1489;-1.678
1490;-1.8675
1491;-2.2326
1492;-2.5958
1493;-2.9572
1494;-2.9701
1495;-2.9162
1496;-2.9
1497;-2.6348
1498;-2.4157
1499;-2.0304
1500;-1.5075
1501;-0.86615
1502;-0.27068
1503;0.13653
1504;0.37542
1505;0.4997
1506;0.344
1507;-5.52E-02
1508;-0.43146
1509;-0.79747
1510;-1.1552
1511;-1.5315
1512;-1.8975
1513;-2.2557
1514;-2.5452
1515;-2.689
1516;-2.7865
1517;-2.8752
1518;-2.9322
1519;-2.9643
1520;-2.9525
1521;-2.7008
1522;-2.3612
1523;-2.0392
1524;-1.7008
1525;-1.3637
1526;-1.0529
1527;-0.85416
1528;-0.6963
1529;-0.52963
1530;-0.411
1531;-0.30353
1532;-0.16964
1533;0.156
1534;0.55849
1535;0.96979
1536;1.445
1537;1.945
1538;2.5197
1539;2.3324
1540;2.179
1541;2.0583
1542;2.0006
1543;1.943
1544;1.9079
1545;2.0912
1546;2.3424
1547;2.644
1548;3.0612
1549;3.545
1550;4.045
1551;4.0964
1552;4.1
1553;4.0446
1554;3.9178
1555;3.7885
1556;3.644
1557;3.244
1558;2.8506
1559;2.5035
1560;2.2791
1561;2.1224
1562;2.0222
1563;1.7562
1564;1.4928
1565;1.2323
1566;1.1303
1567;1.0607
1568;1.0601
1569;1.1079
1570;1.2653
1571;1.389
1572;1.578
1573;1.778
1574;1.9709
1575;2.0837
1576;2.189
1577;2.2748
1578;2.2003
1579;2.111
1580;2.011
1581;1.911
1582;1.7797
1583;1.622
1584;1.511
1585;1.411
1586;1.3219
1587;1.3
1588;1.3
1589;1.3
1590;1.3
1591;1.3039
1592;1.3158
1593;1.536
1594;1.8053
1595;2.0877
1596;2.6391
1597;3.3035
1598;3.8863
1599;4.3342
1600;4.6791
1601;4.9018
1602;4.4899
1603;3.8664
1604;3.177
1605;2.477
1606;1.7662
1607;1.0876
1608;0.644
1609;0.244
1610;-0.19022
1611;-0.28205
1612;-0.3314
1613;-0.36697
1614;-0.3946
1615;-0.4
1616;-0.42203
1617;-0.4944
1618;-0.589
1619;-0.6432
1620;-0.59276
1621;-0.4534
1622;-0.31274
1623;-0.21844
1624;-0.1686
1625;-0.17884
1626;-0.30165
1627;-0.54277
1628;-0.86667
1629;-1.2455
1630;-1.745
1631;-2.1563
1632;-2.4775
1633;-2.768
1634;-2.9881
1635;-3.1551
1636;-3.3185
1637;-3.4782
1638;-3.3342
1639;-3.1815
1640;-3.0218
1641;-2.7295
1642;-2.433
1643;-2.133
1644;-2.0443
1645;-1.9705
1646;-1.9108
1647;-1.6922
1648;-1.4625
1649;-1.2222
1650;-1.1408
1651;-1.0705
1652;-1.0108
1653;-1.0035
1654;-1
1655;-1
1656;-0.88125
1657;-0.722
1658;-0.60957
1659;-0.57733
1660;-0.54075
1661;-0.49979
1662;-0.43313
1663;-0.37025
1664;-0.311
1665;-0.211
1666;-0.111
1667;-1.11E-02
1668;6.31E-02
1669;0.12975
1670;0.1885
1671;0.12938
